"","gene_set","median","length","sd","transcript_length","transcript_sd"
"1","All Genes",145.5,262.138252205622,364.649465994,NA,NA
"2","ALS",113.505952380952,279.90013655584,528.383481542151,NA,NA
"3","Alzheimer's",133.951048951049,146.727574712877,50.8756646268317,NA,NA
"4","ADHD",135.333333333333,183.861161880901,177.541884911227,NA,NA
"5","Schizophrenia",146.54347826087,242.736238557555,281.25411300277,NA,NA
"6","Autism",161.614471406937,260.720892416319,459.082140879367,NA,NA
"7","PAH Mutated Genes",142.685185185185,249.555677923856,500.265819230578,NA,NA
"8","Randomly Mutated Genes",390,768.914483127645,1206.11606747888,NA,NA
