chemical,hline
Other,0.01212937984496124
Metal,0.008226666666666667
Nitro-PAH,0.024024117647058824
PAH,0.03288528455284553
ROS/NOS,0.0135875
Alkylating Agent,0.023732222222222224
DNA Damage Response Inhibitors,0.008170833333333334
Drug Therapy,0.0110756462585034
Heterocyclic Amine,0.01117047619047619
Aromatic Amine,0.007967083333333333
Nitrosamine,0.00926111111111111
Aldehydes,0.007347666666666666
Radiation,0.036286
