"","gene_set","length","median","sd","transcript_length","transcript_sd"
"1","All Genes",67862.0306322581,26896,131290.173044002,1666.94081290323,1413.63211833605
"2","ALS",57032.8181818182,16563,81839.350239134,2302.86363636364,1560.63801201478
"3","Alzheimer's",106952.689655172,95167,90544.905016439,1415.96551724138,1014.87351367965
"4","ADHD",215239.947368421,55369,312947.251302032,1533.02631578947,1156.6544124433
"5","Schizophrenia",255930.828282828,149687,316691.99773722,1791.05555555556,1438.86785655139
"6","Autism",264165.2,128775,339938.10328458,2129.33888888889,1831.97801489706
"7","PAH Mutated Genes",294765.027536159,141472,388307.55441049,1936.81286032163,1692.25578859185
"8","Randomly Mutated Genes",322226.822745,173451,396098.914950615,1921.0544475,1691.02962975244
